PlayerID,Name,Team,Position,Age,Non-SF Value
scotty-miller-442,Scotty Miller,PIT,WR,26,445
craig-reynolds-604,Craig Reynolds,DET,RB,28,443
rashaad-penny-210,Rashaad Penny,CAR,RB,28,435
tyler-badie-1206,Tyler Badie,DEN,RB,24,432
julius-chestnut-1325,Julius Chestnut,TEN,RB,23,430
lil-jordan-humphrey-177,Lil'Jordan Humphrey,DEN,WR,26,425
mac-jones-1018,Mac Jones,JAC,QB,25,407
erik-ezukanma-1239,Erik Ezukanma,MIA,WR,24,403
hunter-long-1056,Hunter Long,LAR,TE,25,397
mo-alie-cox-195,Mo Alie-Cox,IND,TE,30,389
jarrett-stidham-156,Jarrett Stidham,DEN,QB,27,373
ben-skowronek-1110,Ben Skowronek,HOU,WR,27,366
michael-thomas-278,Michael Thomas,FA,WR,31,362
desmond-ridder-1213,Desmond Ridder,ARI,QB,24,361
will-mallory-1435,Will Mallory,IND,TE,25,361
jaelon-darden-1043,Jaelon Darden,CLE,WR,25,359
royce-freeman-248,Royce Freeman,DAL,RB,28,347
braxton-berrios-126,Braxton Berrios,MIA,WR,28,341
mack-hollins-767,Mack Hollins,BUF,WR,30,333
eno-benjamin-635,Eno Benjamin,NOS,RB,25,332
harrison-bryant-752,Harrison Bryant,LVR,TE,26,327
trenton-irwin-980,Trenton Irwin,CIN,WR,28,324
kareem-hunt-214,Kareem Hunt,FA,RB,28,313
tyler-huntley-618,Tyler Huntley,CLE,QB,26,312
danny-gray-1241,Danny Gray,SFO,WR,25,301
cam-akers-531,Cam Akers,FA,RB,25,297
isaiah-mckenzie-766,Isaiah McKenzie,NYG,WR,29,297
nelson-agholor-207,Nelson Agholor,BAL,WR,31,288
james-mitchell-1316,James Mitchell,DET,TE,24,282
austin-hooper-384,Austin Hooper,NEP,TE,29,281
kene-nwangwu-1120,Kene Nwangwu,MIN,RB,26,277
bryce-ford-wheaton-1474,Bryce Ford-Wheaton,NYG,WR,24,252
joshua-dobbs-821,Joshua Dobbs,SFO,QB,29,235
richie-james-168,Richie James,KCC,WR,29,235
andrew-ogletree-1315,Andrew Ogletree,IND,TE,25,233
charlie-kolar-1254,Charlie Kolar,BAL,TE,25,228
d-wayne-eskridge-1079,D'Wayne Eskridge,SEA,WR,27,215
samori-toure-1306,Samori Toure,GBP,WR,26,214
malik-willis-1210,Malik Willis,TEN,QB,25,203
clayton-tune-1413,Clayton Tune,ARI,QB,25,186
tyson-bagent-1478,Tyson Bagent,CHI,QB,24,185
bailey-zappe-1212,Bailey Zappe,NEP,QB,25,185
tommy-devito-1520,Tommy DeVito,NYG,QB,25,185
malik-cunningham-1410,Malik Cunningham,BAL,QB,25,184
tanner-hudson-457,Tanner Hudson,CIN,TE,29,184
michael-pratt-1559,Michael Pratt,GBP,QB,22,183
kyle-trask-1019,Kyle Trask,TBB,QB,26,182
